1.000000000000000000e+00,9.707807221414435084e-01,9.779706133948881108e-01,9.782973716493387206e-01,7.780835164601291876e-01,8.998925721229841246e-01,9.501079560329409590e-01,8.581202296777196148e-01,8.770715258314946139e-01,9.828864680925623043e-01
9.707807221414435084e-01,1.000000000000000000e+00,9.744608769427199890e-01,9.754639167546517164e-01,7.942909508055865375e-01,9.061966182167203732e-01,9.420713596729517469e-01,8.307182874063708811e-01,8.529962823614517520e-01,9.720103933125738838e-01
9.779706133948881108e-01,9.744608769427199890e-01,1.000000000000000000e+00,9.627883129392375006e-01,7.802924632958854190e-01,8.609374418456187117e-01,9.530713298698344493e-01,8.706721408778657079e-01,8.706130432473101477e-01,9.575508793615374881e-01
9.782973716493387206e-01,9.754639167546517164e-01,9.627883129392375006e-01,1.000000000000000000e+00,7.945621203978033842e-01,9.345095504578714296e-01,9.389801869422372826e-01,8.334479901967085658e-01,8.523739795195824920e-01,9.823312509083308441e-01
7.780835164601291876e-01,7.942909508055865375e-01,7.802924632958854190e-01,7.945621203978033842e-01,1.000000000000000000e+00,8.553078203288776438e-01,7.117392211221319487e-01,6.658125722550197745e-01,7.155246763679592448e-01,7.523038240947705901e-01
8.998925721229841246e-01,9.061966182167203732e-01,8.609374418456187117e-01,9.345095504578714296e-01,8.553078203288776438e-01,1.000000000000000000e+00,8.307416266410602157e-01,7.923063127465187483e-01,8.363883262501198290e-01,9.133818390094847750e-01
9.501079560329409590e-01,9.420713596729517469e-01,9.530713298698344493e-01,9.389801869422372826e-01,7.117392211221319487e-01,8.307416266410602157e-01,1.000000000000000000e+00,7.899491539583223254e-01,8.976924235562161458e-01,9.160245818450684085e-01
8.581202296777196148e-01,8.307182874063708811e-01,8.706721408778657079e-01,8.334479901967085658e-01,6.658125722550197745e-01,7.923063127465187483e-01,7.899491539583223254e-01,1.000000000000000000e+00,8.657338466434131297e-01,8.422825102387765384e-01
8.770715258314946139e-01,8.529962823614517520e-01,8.706130432473101477e-01,8.523739795195824920e-01,7.155246763679592448e-01,8.363883262501198290e-01,8.976924235562161458e-01,8.657338466434131297e-01,1.000000000000000000e+00,8.314866661065832831e-01
9.828864680925623043e-01,9.720103933125738838e-01,9.575508793615374881e-01,9.823312509083308441e-01,7.523038240947705901e-01,9.133818390094847750e-01,9.160245818450684085e-01,8.422825102387765384e-01,8.314866661065832831e-01,1.000000000000000000e+00
